#{"t_start": 1755680075.4614668, "env_id": "None"}
r,l,t,episode_energy,success
--7750.437167,400,15.875137,2395240049.4493065,False
16.562344,242,15.95123,21243.69209596098,True
-1.06801,400,16.070043,48350.93049707997,False
11.424166,115,16.105533,10603.390234580182,True
15.423959,198,16.168905,20233.588506260614,True
10.537387,289,32.179147,22961.02805274803,True
-0.754498,400,32.305899,46493.73758304598,False
-1932.891733,400,32.455243,955730748.7309151,False
10.733213,101,32.496957,7499.95218007691,True
-0.958543,400,32.626976,46696.6363730163,False
,True
-83496620.5617,400,4.924542,-32855546831.65114,False
-112933425.242903,400,5.549141,-378275185322.71747,False
-111637836.595126,400,6.608958,181400068231.59015,False
-106965633.794491,400,7.311784,867861673265.599,False
-58590985.914382,377,7.781811,-1019390648705.7676,True
-80807932.062971,308,8.175872,645792607948.628,True
-49775780.147633,228,8.481486,-550614842321.663,True
-55487202.00963,400,8.90717,996921936002.3552,True
-86890638.690048,400,10.133136,802308652031.5631,False
-74658349.231934,400,10.551406,-8336514839.512342,False
-24736827.506116,209,10.773326,-522228980971.9657,True
-85586614.281763,400,11.310031,956164310320.7611,False
-80099598.017483,400,11.918818,-161008127068.41534,False
-150923811.899182,400,12.419109,85072684922.58304,False
-84686369.012708,400,13.406468,1112707187341.5554,False
-149833755.105751,400,14.100556,1021564811680.2479,False
-146051353.47006,400,14.869177,-37293373743.086815,False
-119189420.692534,400,15.443251,-903902427168.3939,False
-18784221.925104,109,15.561883,142910631983.1182,True
-98427283.565287,400,16.616346,580104360143.5327,False
-80476697.937043,296,17.509327,406606202491.7922,True
-134971210.756103,400,18.106783,263546790715.88342,False
-96513882.360279,374,18.806585,-756544445737.166,True
-48312344.755764,88,18.962741,730065167958.2999,True
-16339383.121345,107,19.128264,-116289632486.26163,True
-85320461.08975,366,19.577723,1598026519437.258,True
-3806204.947274,112,19.639041,375717995.42911804,True
-125346196.857591,400,20.538091,909779656602.4766,False
-95915340.160804,377,21.066433,444695691340.6784,True
-33307490.04129,400,21.384162,-327758530465.7047,False
-378192.432483,53,21.419463,-7433076774.244944,True
-61831442.178059,134,21.635384,139478651688.7045,True
-131239106.899922,400,22.253619,-898563129891.5748,False
-41397287.05554,328,22.616998,-671500925802.1571,True
-16679578.553869,108,22.685888,235092973369.60617,True
-102667015.872462,400,23.653006,46662392772.60619,False
-65640285.690644,400,24.097429,-361828137699.9591,False
-38049677.827537,213,24.417488,-363732263677.4765,True
-113531241.438802,400,24.983941,703931729553.6826,False
-87350778.418323,400,25.489965,-364859772497.51984,False
-136754626.375304,400,26.578608,79823245588.09158,False
-103155638.734709,400,27.104044,463375525077.2341,False
-105638870.25182,400,27.623511,-1003492129774.1287,False
-89673214.307054,400,28.162589,-1109490325193.271,False
-75772647.186333,400,28.722955,1328705820718.137,False
-152451.203456,51,28.763655,-193727658.95697275,True
-84276012.014216,388,29.856884,538218794645.2289,True
-55214470.312921,400,30.46789,-1139411708273.5747,False
-99228364.118776,400,31.107543,-28243084338.502007,False
-98464185.184146,400,31.701312,1195938744247.561,False
-73887331.242434,241,32.000797,143954941658.7413,True
-36369655.030648,201,32.790373,-63720177288.60308,True
-82246230.457544,400,33.287894,173985042848.51144,False
-139090555.241801,400,34.544284,926699980971.0408,False
-70823063.784132,400,35.193905,-192576453490.21912,False
-6000520.297301,61,35.307946,-144078228636.187,True
-37067598.827818,400,35.704561,-149062180022.23767,False
-21861594.691012,107,35.855565,-280973134234.3692,True
-111568528.359968,400,36.465518,492288231634.56854,False
-580432.484062,37,36.500895,1298810377.5924668,True
-87419203.265731,400,37.469092,-87667744801.5156,False
-140804931.330917,400,38.242449,-1371745170831.0552,False
-20013267.924126,141,38.518044,366168002471.3111,True
-52047352.521011,144,38.867976,727622729141.9937,True
-68904636.151409,400,39.663357,1149422295937.6887,False
-66449987.165706,400,40.492294,-84764348010.59575,False
